,log message,log key,parameter value vector,anomalies
70,Feb 15 01:10:59.899 peacecorps.gov IN A + (127.0.0.1),E2,[3,0
71,Feb 15 01:10:59.899 www.wikipedia.org IN A + (127.0.0.1),E0,[0,0
72,Feb 15 01:10:59.898 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,0
73,Feb 15 01:10:59.897 id.server IN A + (127.0.0.1),E0,[0,0
74,Feb 15 01:10:59.893 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
75,Feb 15 01:10:59.854 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
76,Feb 15 01:10:59.853 hostname.bind IN A + (127.0.0.1),E0,[0,0
77,Feb 15 01:10:59.852 version.bind IN A + (127.0.0.1),E0,[0,0
78,Feb 15 01:10:59.852 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
79,Feb 15 01:10:59.851 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
80,Feb 15 01:10:59.850 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,0
81,Feb 15 01:10:59.849 67b.org IN A + (127.0.0.1),E0,[0,0
82,Feb 15 01:10:57.315 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
83,Feb 15 01:10:56.814 direct.shodan.io IN A + (127.0.0.1),E0,[0,0
84,Feb 15 01:10:56.813 hostname.bind IN A + (127.0.0.1),E0,[3,0
85,Feb 15 01:10:56.812 c.afekv.com IN A + (127.0.0.1),E1,[0,0
86,Feb 15 01:10:56.812 version.bind IN A + (127.0.0.1),E0,[0,0
87,Feb 15 01:10:56.812 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
88,Feb 15 01:10:56.812 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
89,Feb 15 01:10:56.811 www.wikipedia.org IN A + (127.0.0.1),E0,[0,0
90,Feb 15 01:10:56.811 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
91,Feb 15 01:10:56.811 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,0
92,Feb 15 01:10:56.810 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,0
93,Feb 15 01:10:56.810 id.server IN A + (127.0.0.1),E0,[0,0
94,Feb 15 01:10:56.809 67b.org IN A + (127.0.0.1),E0,[0,0
95,Feb 15 01:10:56.808 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
96,Feb 15 01:10:54.354 direct.shodan.io IN A + (127.0.0.1),E0,[0,0
97,Feb 15 01:10:54.354 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
98,Feb 15 01:10:54.353 hostname.bind IN A + (127.0.0.1),E0,[3,0
99,Feb 15 01:10:53.851 c.afekv.com IN A + (127.0.0.1),E1,[0,0
100,Feb 15 01:10:53.850 version.bind IN A + (127.0.0.1),E0,[0,0
101,Feb 15 01:10:53.850 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
102,Feb 15 01:10:53.849 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
103,Feb 15 01:10:53.849 www.wikipedia.org IN A + (127.0.0.1),E0,[0,0
104,Feb 15 01:10:53.849 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
105,Feb 15 01:10:53.848 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,0
106,Feb 15 01:10:53.848 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,0
107,Feb 15 01:10:53.847 id.server IN A + (127.0.0.1),E0,[0,0
108,Feb 15 01:10:53.846 67b.org IN A + (127.0.0.1),E0,[0,0
109,Feb 15 01:10:53.846 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
110,Feb 15 01:10:51.352 direct.shodan.io IN A + (127.0.0.1),E0,[0,0
111,Feb 15 01:10:51.351 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
112,Feb 15 01:10:51.351 hostname.bind IN A + (127.0.0.1),E0,[3,0
113,Feb 15 01:10:50.848 c.afekv.com IN A + (127.0.0.1),E1,[0,0
114,Feb 15 01:10:50.847 version.bind IN A + (127.0.0.1),E0,[0,0
115,Feb 15 01:10:50.847 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
116,Feb 15 01:10:50.847 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
117,Feb 15 01:10:50.846 www.wikipedia.org IN A + (127.0.0.1),E0,[0,0
118,Feb 15 01:10:50.846 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
119,Feb 15 01:10:50.845 6796a1d2.asert-dns-research.com IN A + (127.0.0.1),E0,[0,0
120,Feb 15 01:10:50.845 researchscan541.eecs.umich.edu IN A + (127.0.0.1),E0,[0,0
121,Feb 15 01:10:50.844 id.server IN A + (127.0.0.1),E0,[0,0
122,Feb 15 01:10:50.844 67b.org IN A + (127.0.0.1),E0,[0,0
123,Feb 15 01:10:50.843 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
124,Feb 15 01:10:47.848 direct.shodan.io IN A + (127.0.0.1),E0,[0,0
125,Feb 15 01:10:47.848 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
126,Feb 15 01:10:47.847 hostname.bind IN A + (127.0.0.1),E0,[3,0
127,Feb 15 01:10:47.846 c.afekv.com IN A + (127.0.0.1),E1,[0,0
128,Feb 15 01:10:47.846 version.bind IN A + (127.0.0.1),E0,[0,0
129,Feb 15 01:10:47.846 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
130,Feb 15 01:10:47.845 peacecorps.gov IN A + (127.0.0.1),E2,[0,0
131,Feb 15 01:10:47.845 www.wikipedia.org IN A + (127.0.0.1),E0,[0,0
